bin_min,bin_max,bin_center,bin_width,data_observed,data_stat_error,signal_expected,background_expected
80,85,82.5,5,1.0,1.0,0.0013897694880142808,0.31283652782440186
85,90,87.5,5,1.0,1.0,0.002705242484807968,2.119786262512207
90,95,92.5,5,7.0,2.6457513110645907,0.007363017648458481,3.29964542388916
95,100,97.5,5,4.0,2.0,0.011725452728569508,0.7595272064208984
100,105,102.5,5,1.0,1.0,0.02031910978257656,0.30439043045043945
105,110,107.5,5,0.0,0.0,0.04448341578245163,0.29133081436157227
110,115,112.5,5,1.0,1.0,0.11656110733747482,0.5044674873352051
115,120,117.5,5,2.0,1.4142135623730951,0.6227600574493408,0.6630091667175293
120,125,122.5,5,10.0,3.1622776601683795,3.426738977432251,0.805323600769043
125,130,127.5,5,3.0,1.7320508075688772,1.878089427947998,0.9266195297241211
130,135,132.5,5,2.0,1.4142135623730951,0.05077981948852539,1.0452585220336914
135,140,137.5,5,1.0,1.0,0.0022974014282226562,1.0051727294921875
140,145,142.5,5,2.0,1.4142135623730951,0.0007009506225585938,1.1295967102050781
145,150,147.5,5,1.0,1.0,0.00039386749267578125,1.034775733947754
150,155,152.5,5,3.0,1.7320508075688772,0.000377655029296875,1.047384262084961
155,160,157.5,5,1.0,1.0,0.00038433074951171875,1.0751609802246094
160,165,162.5,5,2.0,1.4142135623730951,0.0004172325134277344,1.1239891052246094
165,170,167.5,5,1.0,1.0,0.0005397796630859375,1.3008575439453125
170,175,172.5,5,3.0,1.7320508075688772,0.00026035308837890625,1.5732898712158203
175,180,177.5,5,2.0,1.4142135623730951,0.0003743171691894531,2.3475170135498047
180,185,182.5,5,7.0,2.6457513110645907,0.00038242340087890625,3.8747425079345703
185,190,187.5,5,12.0,3.4641016151377544,0.0003790855407714844,5.720027923583984
190,195,192.5,5,3.0,1.7320508075688772,0.0004572868347167969,6.042732238769531
195,200,197.5,5,7.0,2.6457513110645907,0.0004963874816894531,6.386615753173828
200,205,202.5,5,8.0,2.8284271247461903,0.0003800392150878906,6.229290008544922
205,210,207.5,5,7.0,2.6457513110645907,0.00029087066650390625,6.2694091796875
210,215,212.5,5,5.0,2.23606797749979,0.00028705596923828125,5.680137634277344
215,220,217.5,5,7.0,2.6457513110645907,0.0002741813659667969,5.483711242675781
220,225,222.5,5,4.0,2.0,0.0003247261047363281,5.117218017578125
225,230,227.5,5,13.0,3.605551275463989,0.0002751350402832031,4.782188415527344
230,235,232.5,5,5.0,2.23606797749979,0.0003161430358886719,4.451171875
235,240,237.5,5,7.0,2.6457513110645907,0.00029087066650390625,4.210441589355469
240,245,242.5,5,8.0,2.8284271247461903,0.00016832351684570312,3.9611282348632812
245,250,247.5,5,6.0,2.449489742783178,0.00018596649169921875,3.6223526000976562
